,Returns
22725,-0.2521480852869417
20393,0.19854847071021264
7327,-0.02849002849002849
23207,-0.09090909090909097
21389,-0.01926001013684739
3787,-0.6936936936936936
15894,0.35280105142106133
28319,0.6161713624083365
129,0.4613471502590675
25545,0.07297139521307648
7061,-0.27304653204565416
12024,-0.48487031700288186
14949,0.767004554135449
27615,0.04018475750577372
16575,0.1308562197092084
18297,0.08463756177924216
13129,0.3649149207084154
24522,-0.016454849498327814
8755,-0.11329431438127092
17559,1.4484349258649094
20094,-0.12396306151197373
980,0.08470290771175731
3337,-0.12289589802255264
8198,0.8727272727272728
17214,0.5460295151089247
15726,-0.05999999999999995
12824,0.36315165876777267
7109,0.15714608263716418
23010,-0.21784776902887132
16018,-0.47493403693931396
11888,0.11055095426719483
15887,0.7800763205462944
26674,0.22413793103448276
29486,0.022255943348507907
13661,1.3480662983425413
1295,1.1983002832861192
23771,0.11511354737666411
20775,0.13027387120651368
3251,-0.07876923076923073
29387,-0.3456582633053221
21295,-0.1893004115226338
28451,0.8576377952755905
25425,-0.11937617375683844
26678,1.300469483568075
24926,-0.08078562164165276
21972,0.4526606772633033
17343,0.47610275304472416
8164,0.01587301587301588
11821,-0.16382627817482134
9405,0.9351557533375715
21559,-0.5884476534296029
16636,0.13610363391655458
17696,0.9565935362113706
4030,0.15994712491738267
1518,1.39765625
25443,1.4390243902439026
15962,7.0508474576271185
22138,-0.29611650485436897
28161,-0.47186796699174793
14534,-0.06354249404289124
6635,6.617647058823529
7372,0.1926982069561461
8724,0.3012427506213753
23736,0.10438983406847299
14478,0.8655097613882864
21523,-0.5178571428571429
21211,0.11274402281202003
18003,0.024688398849472704
26198,0.10777070063694259
10623,-0.4838709677419355
3628,0.24155697782071403
7513,0.04417448923246829
14594,0.19828230022404789
906,-0.12676056338028166
27894,-0.2521008403361344
18822,-0.8775
29093,0.06524444444444448
2290,1.7041095890410956
25587,0.5432680386808828
22720,-0.02836879432624109
4473,0.10304008609093354
28440,0.6467065868263474
16214,86.06
8369,2.3181818181818183
14633,-0.3079485959067112
6839,0.7510312315851504
3040,0.8531725222863135
29362,0.006466910972192222
3530,0.028938341102999438
16806,-0.17813121272365795
26579,0.28496061284960617
6062,0.05052994823761393
12200,0.5058430717863107
16281,-0.1606246514221974
15119,1.0044974139869576
16829,-0.4658106897581368
7390,0.08748035620743853
20043,0.734453781512605
8676,-0.3662601626016261
19214,0.39547038327526146
17507,0.1709187435481493
16808,0.21598190727478314
28989,0.1354125542834585
3028,-0.3069536688805313
13633,0.15283842794759828
7215,0.3662065894924309
24158,-0.11153552330022924
12540,1.8628571428571428
5303,-0.0584158415841584
