,Test Number,Model Used,Indexed Return,Annual Volatility
0,0,pl_decTree,2.831963133484347,0.4972810577086227
1,1,pl_decTree,1.4537870165137692,0.26148537395128024
2,2,pl_decTree,4.165698616540287,1.0869626466096909
3,3,pl_decTree,2.189687675588107,0.3546507073452271
4,4,pl_decTree,2.891338024623618,0.9697854733810253
5,5,pl_decTree,3.9981601611790762,0.5228135237308331
6,6,pl_decTree,1.4918899912951726,0.2035732866913398
7,7,pl_decTree,1.7692904795091857,0.3967176357187598
8,8,pl_decTree,2.9593645690515546,0.7793227503382799
9,9,pl_decTree,2.855370128413512,0.4350890143853555
10,10,pl_decTree,2.692504219501104,0.41264703928493196
11,11,pl_decTree,1.778224967642137,0.3205799849762558
12,12,pl_decTree,1.257278922405459,0.21344815245361326
13,13,pl_decTree,1.783295140657297,0.3523363644573356
14,14,pl_decTree,4.424881268027087,0.7845459548714246
15,15,pl_decTree,2.0142124122891345,0.3238919125809587
16,16,pl_decTree,1.4613508458129336,0.2885787670042251
17,17,pl_decTree,1.2501619699490767,0.24189578605697956
18,18,pl_decTree,5.054628768512048,0.836524068682412
19,19,pl_decTree,1.2922065662992563,0.26651495954553583
20,20,pl_decTree,4.258859550610584,0.7324645267330068
21,21,pl_decTree,1.3479175924809534,0.23612301242715722
22,22,pl_decTree,3.239229961809505,0.5714564983129776
23,23,pl_decTree,1.3787865510552109,0.4393064899938516
24,24,pl_decTree,4.149648002384077,0.7211428461184812
25,25,pl_decTree,1.9919173358302606,0.4050791840634149
26,26,pl_decTree,1.58280054851893,0.23043442392205368
27,27,pl_decTree,1.6215226565231184,0.31754313204427853
28,28,pl_decTree,1.6717589295371014,0.3287689647733324
29,29,pl_decTree,4.0479789089144305,0.5700265573643679
30,30,pl_decTree,1.7829170217753951,0.35860733429893554
31,31,pl_decTree,1.268381626657113,0.21173649557640598
32,32,pl_decTree,3.372501423958744,0.5198805125006163
33,33,pl_decTree,2.748231615074409,0.6148910787227089
34,34,pl_decTree,1.5735271638205346,0.2570118617664437
35,35,pl_decTree,3.3159898358547015,0.5832935810057208
36,36,pl_decTree,4.314291687214639,0.8445981380393658
37,37,pl_decTree,2.3487876309617426,0.4218577134402494
38,38,pl_decTree,4.518247408387714,0.551744853961287
39,39,pl_decTree,5.359331870401998,1.4280752562025905
40,40,pl_decTree,2.160520868115745,0.33570027042079315
41,41,pl_decTree,3.937435829883049,0.6039307311026454
42,42,pl_decTree,2.877095896102969,0.43095339086347045
43,43,pl_decTree,2.3793344632806277,0.40299523247126884
44,44,pl_decTree,3.4827677805568182,0.4399955235092063
45,45,pl_decTree,4.324846181165659,0.6892221943527908
46,46,pl_decTree,2.464227833148363,0.4136135302717442
47,47,pl_decTree,2.645933327907349,0.37847871874280237
48,48,pl_decTree,5.453080386577046,0.8123882565797639
49,49,pl_decTree,5.480804862031837,0.8620326156470924
