,Ticker1,Open1,Date1,Volume1,Ticker2,Open2,Date2,Volume2
0,A,43.33,2016-10-31,1556762.0,A,67.74,2017-10-31,1609938.0
1,A,48.04,2017-01-31,2552612.0,A,73.77,2018-01-31,1949108.0
2,A,55.5,2017-04-30,1897018.0,A,66.49,2018-04-30,2277705.0
3,A,60.32,2017-07-31,1038744.0,A,64.93,2018-07-31,2539265.0
4,A,67.74,2017-10-31,1609938.0,A,64.35,2018-10-31,3820987.0
5,A,73.77,2018-01-31,1949108.0,A,75.21,2019-01-31,2951321.0
6,A,66.49,2018-04-30,2277705.0,A,77.44,2019-04-30,1726239.0
7,A,64.93,2018-07-31,2539265.0,A,70.19,2019-07-31,3846063.0
8,A,64.35,2018-10-31,3820987.0,A,76.0,2019-10-31,970472.0
9,A,75.21,2019-01-31,2951321.0,A,84.03,2020-01-31,2850446.0
10,A,77.44,2019-04-30,1726239.0,A,77.96,2020-04-30,1795163.0
11,A,70.19,2019-07-31,3846063.0,A,95.94,2020-07-31,1551785.0
12,A,76.0,2019-10-31,970472.0,A,103.52,2020-10-31,1572506.0
13,A,84.03,2020-01-31,2850446.0,A,120.69,2021-01-31,1292732.0
14,A,77.96,2020-04-30,1795163.0,A,133.9,2021-04-30,1514162.0
15,A,95.94,2020-07-31,1551785.0,A,154.05,2021-07-31,1438321.0
16,A,103.52,2020-10-31,1572506.0,A,,,
17,A,120.69,2021-01-31,1292732.0,A,,,
18,A,133.9,2021-04-30,1514162.0,A,,,
19,A,154.05,2021-07-31,1438321.0,A,,,
20,AA,22.5,2016-09-30,1000.0,AA,46.43,2017-09-30,4037598.0
21,AA,28.6,2016-12-31,2746634.0,AA,54.06,2017-12-31,2928905.0
22,AA,34.06,2017-03-31,5188399.0,AA,44.86,2018-03-31,2139615.0
23,AA,33.16,2017-06-30,3014777.0,AA,46.46,2018-06-30,2150764.0
24,AA,46.43,2017-09-30,4037598.0,AA,40.75,2018-09-30,3624890.0
25,AA,54.06,2017-12-31,2928905.0,AA,26.75,2018-12-31,2402623.0
26,AA,44.86,2018-03-31,2139615.0,AA,28.68,2019-03-31,3880402.0
27,AA,46.46,2018-06-30,2150764.0,AA,23.67,2019-06-30,3421871.0
28,AA,40.75,2018-09-30,3624890.0,AA,20.53,2019-09-30,3282303.0
29,AA,26.75,2018-12-31,2402623.0,AA,21.37,2019-12-31,2288528.0
30,AA,28.68,2019-03-31,3880402.0,AA,6.16,2020-03-31,12477726.0
31,AA,23.67,2019-06-30,3421871.0,AA,10.84,2020-06-30,5796789.0
32,AA,20.53,2019-09-30,3282303.0,AA,11.68,2020-09-30,5513080.0
33,AA,21.37,2019-12-31,2288528.0,AA,23.0,2020-12-31,3443724.0
34,AA,6.16,2020-03-31,12477726.0,AA,33.66,2021-03-31,7236579.0
35,AA,10.84,2020-06-30,5796789.0,AA,37.2,2021-06-30,6047752.0
36,AA,11.68,2020-09-30,5513080.0,AA,,,
37,AA,23.0,2020-12-31,3443724.0,AA,,,
38,AA,33.66,2021-03-31,7236579.0,AA,,,
39,AA,37.2,2021-06-30,6047752.0,AA,,,
40,AAC_delist,36.45,2016-09-30,5501735.0,AAC_delist,,,
41,AAC_delist,36.45,2016-12-31,5501735.0,AAC_delist,,,
42,AAC_delist,36.45,2017-03-31,5501735.0,AAC_delist,,,
43,AAL,35.98,2016-09-30,7429336.0,AAL,47.52,2017-09-30,4880411.0
44,AAL,47.28,2016-12-31,6737752.0,AAL,52.33,2017-12-31,4060789.0
45,AAL,42.37,2017-03-31,5427748.0,AAL,51.77,2018-03-31,4185804.0
46,AAL,49.92,2017-06-30,6525310.0,AAL,37.74,2018-06-30,3363452.0
47,AAL,47.52,2017-09-30,4880411.0,AAL,41.41,2018-09-30,7213580.0
48,AAL,52.33,2017-12-31,4060789.0,AAL,32.09,2018-12-31,5334664.0
49,AAL,51.77,2018-03-31,4185804.0,AAL,31.98,2019-03-31,7438163.0
50,AAL,37.74,2018-06-30,3363452.0,AAL,33.14,2019-06-30,8995147.0
51,AAL,41.41,2018-09-30,7213580.0,AAL,27.35,2019-09-30,5146989.0
52,AAL,32.09,2018-12-31,5334664.0,AAL,28.2,2019-12-31,4397331.0
53,AAL,31.98,2019-03-31,7438163.0,AAL,12.9,2020-03-31,44851435.0
54,AAL,33.14,2019-06-30,8995147.0,AAL,13.1,2020-06-30,69607727.0
55,AAL,27.35,2019-09-30,5146989.0,AAL,12.32,2020-09-30,65428134.0
56,AAL,28.2,2019-12-31,4397331.0,AAL,16.08,2020-12-31,57891084.0
57,AAL,12.9,2020-03-31,44851435.0,AAL,24.03,2021-03-31,29800342.0
58,AAL,13.1,2020-06-30,69607727.0,AAL,21.09,2021-06-30,26231781.0
59,AAL,12.32,2020-09-30,65428134.0,AAL,,,
60,AAL,16.08,2020-12-31,57891084.0,AAL,,,
61,AAL,24.03,2021-03-31,29800342.0,AAL,,,
62,AAL,21.09,2021-06-30,26231781.0,AAL,,,
63,AAN,18.07,2020-12-31,541665.0,AAN,,,
64,AAN,25.25,2021-03-31,335875.0,AAN,,,
65,AAN,32.56,2021-06-30,301110.0,AAN,,,
66,AAOI,20.77,2016-09-30,636432.0,AAOI,64.36,2017-09-30,1222599.0
67,AAOI,23.71,2016-12-31,268160.0,AAOI,37.8,2017-12-31,963893.0
68,AAOI,55.35,2017-03-31,2467491.0,AAOI,24.87,2018-03-31,598010.0
69,AAOI,61.74,2017-06-30,2396091.0,AAOI,44.55,2018-06-30,1637664.0
70,AAOI,64.36,2017-09-30,1222599.0,AAOI,25.37,2018-09-30,2170958.0
71,AAOI,37.8,2017-12-31,963893.0,AAOI,15.11,2018-12-31,774094.0
72,AAOI,24.87,2018-03-31,598010.0,AAOI,12.31,2019-03-31,566036.0
73,AAOI,44.55,2018-06-30,1637664.0,AAOI,10.7,2019-06-30,883132.0
74,AAOI,25.37,2018-09-30,2170958.0,AAOI,11.13,2019-09-30,514184.0
75,AAOI,15.11,2018-12-31,774094.0,AAOI,11.56,2019-12-31,560086.0
76,AAOI,12.31,2019-03-31,566036.0,AAOI,7.63,2020-03-31,466055.0
77,AAOI,10.7,2019-06-30,883132.0,AAOI,9.35,2020-06-30,1792800.0
78,AAOI,11.13,2019-09-30,514184.0,AAOI,11.23,2020-09-30,443332.0
79,AAOI,11.56,2019-12-31,560086.0,AAOI,8.6,2020-12-31,638427.0
80,AAOI,7.63,2020-03-31,466055.0,AAOI,8.06,2021-03-31,480110.0
81,AAOI,9.35,2020-06-30,1792800.0,AAOI,8.63,2021-06-30,483499.0
82,AAOI,11.23,2020-09-30,443332.0,AAOI,,,
83,AAOI,8.6,2020-12-31,638427.0,AAOI,,,
84,AAOI,8.06,2021-03-31,480110.0,AAOI,,,
85,AAOI,8.63,2021-06-30,483499.0,AAOI,,,
86,AAON,28.41,2016-09-30,172489.0,AAON,34.5,2017-09-30,165902.0
87,AAON,33.45,2016-12-31,137664.0,AAON,36.95,2017-12-31,151043.0
88,AAON,35.2,2017-03-31,200103.0,AAON,38.9,2018-03-31,183535.0
89,AAON,36.45,2017-06-30,104415.0,AAON,32.95,2018-06-30,174837.0
90,AAON,34.5,2017-09-30,165902.0,AAON,37.97,2018-09-30,168997.0
91,AAON,36.95,2017-12-31,151043.0,AAON,34.99,2018-12-31,154821.0
92,AAON,38.9,2018-03-31,183535.0,AAON,46.5,2019-03-31,138574.0
93,AAON,32.95,2018-06-30,174837.0,AAON,50.57,2019-06-30,180255.0
94,AAON,37.97,2018-09-30,168997.0,AAON,45.71,2019-09-30,224562.0
95,AAON,34.99,2018-12-31,154821.0,AAON,49.39,2019-12-31,178894.0
96,AAON,46.5,2019-03-31,138574.0,AAON,48.14,2020-03-31,388927.0
97,AAON,50.57,2019-06-30,180255.0,AAON,53.36,2020-06-30,181329.0
98,AAON,45.71,2019-09-30,224562.0,AAON,59.76,2020-09-30,294863.0
99,AAON,49.39,2019-12-31,178894.0,AAON,66.68,2020-12-31,172882.0
100,AAON,48.14,2020-03-31,388927.0,AAON,71.15,2021-03-31,267931.0
101,AAON,53.36,2020-06-30,181329.0,AAON,63.34,2021-06-30,462351.0
102,AAON,59.76,2020-09-30,294863.0,AAON,,,
103,AAON,66.68,2020-12-31,172882.0,AAON,,,
104,AAON,71.15,2021-03-31,267931.0,AAON,,,
105,AAON,63.34,2021-06-30,462351.0,AAON,,,
106,AAP,147.11,2016-09-30,1065495.0,AAP,99.58,2017-09-30,1511310.0
107,AAP,170.78,2016-12-31,691526.0,AAP,100.9,2017-12-31,2604034.0
108,AAP,148.26,2017-03-31,981765.0,AAP,118.61,2018-03-31,1581257.0
109,AAP,116.45,2017-06-30,981150.0,AAP,135.0,2018-06-30,662522.0
110,AAP,99.58,2017-09-30,1511310.0,AAP,169.02,2018-09-30,591637.0
111,AAP,100.9,2017-12-31,2604034.0,AAP,156.05,2018-12-31,752467.0
112,AAP,118.61,2018-03-31,1581257.0,AAP,172.79,2019-03-31,957451.0
113,AAP,135.0,2018-06-30,662522.0,AAP,155.71,2019-06-30,1154519.0
114,AAP,169.02,2018-09-30,591637.0,AAP,161.64,2019-09-30,991723.0
115,AAP,156.05,2018-12-31,752467.0,AAP,159.16,2019-12-31,609597.0
116,AAP,172.79,2019-03-31,957451.0,AAP,95.56,2020-03-31,1265511.0
117,AAP,155.71,2019-06-30,1154519.0,AAP,142.43,2020-06-30,746130.0
118,AAP,161.64,2019-09-30,991723.0,AAP,151.48,2020-09-30,546651.0
119,AAP,159.16,2019-12-31,609597.0,AAP,157.07,2020-12-31,621014.0
120,AAP,95.56,2020-03-31,1265511.0,AAP,186.69,2021-03-31,729898.0
121,AAP,142.43,2020-06-30,746130.0,AAP,206.22,2021-06-30,569585.0
122,AAP,151.48,2020-09-30,546651.0,AAP,,,
123,AAP,157.07,2020-12-31,621014.0,AAP,,,
124,AAP,186.69,2021-03-31,729898.0,AAP,,,
125,AAP,206.22,2021-06-30,569585.0,AAP,,,
126,AAPL,28.11,2016-09-30,145516424.0,AAPL,38.56,2017-09-30,74099440.0
127,AAPL,28.95,2016-12-31,115127460.0,AAPL,42.54,2017-12-31,100192192.0
128,AAPL,35.93,2017-03-31,78646604.0,AAPL,41.66,2018-03-31,150347164.0
129,AAPL,36.11,2017-06-30,89315916.0,AAPL,45.95,2018-06-30,70925372.0
130,AAPL,38.56,2017-09-30,74099440.0,AAPL,56.99,2018-09-30,94403208.0
131,AAPL,42.54,2017-12-31,100192192.0,AAPL,39.63,2018-12-31,140013864.0
132,AAPL,41.66,2018-03-31,150347164.0,AAPL,47.91,2019-03-31,111447856.0
133,AAPL,45.95,2018-06-30,70925372.0,AAPL,50.79,2019-06-30,109266956.0
134,AAPL,56.99,2018-09-30,94403208.0,AAPL,55.23,2019-09-30,105274332.0
135,AAPL,39.63,2018-12-31,140013864.0,AAPL,72.48,2019-12-31,100990500.0
136,AAPL,47.91,2019-03-31,111447856.0,AAPL,63.9,2020-03-31,197002004.0
137,AAPL,50.79,2019-06-30,109266956.0,AAPL,90.02,2020-06-30,140223284.0
138,AAPL,55.23,2019-09-30,105274332.0,AAPL,113.79,2020-09-30,142675184.0
139,AAPL,72.48,2019-12-31,100990500.0,AAPL,134.08,2020-12-31,99116586.0
140,AAPL,63.9,2020-03-31,197002004.0,AAPL,121.65,2021-03-31,118323826.0
141,AAPL,90.02,2020-06-30,140223284.0,AAPL,136.17,2021-06-30,63261393.0
142,AAPL,113.79,2020-09-30,142675184.0,AAPL,,,
143,AAPL,134.08,2020-12-31,99116586.0,AAPL,,,
144,AAPL,121.65,2021-03-31,118323826.0,AAPL,,,
145,AAPL,136.17,2021-06-30,63261393.0,AAPL,,,
