,Ticker,Date1,Open1,Volume1,Date2,Open2,Volume2
0,A,2016-10-31,43.33,1556762.0,2017-10-31,67.74,1609938.0
1,A,2017-01-31,48.04,2552612.0,2018-01-31,73.77,1949108.0
2,A,2017-04-30,55.5,1897018.0,2018-04-30,66.49,2277705.0
3,A,2017-07-31,60.32,1038744.0,2018-07-31,64.93,2539265.0
4,A,2017-10-31,67.74,1609938.0,2018-10-31,64.35,3820987.0
5,A,2018-01-31,73.77,1949108.0,2019-01-31,75.21,2951321.0
6,A,2018-04-30,66.49,2277705.0,2019-04-30,77.44,1726239.0
7,A,2018-07-31,64.93,2539265.0,2019-07-31,70.19,3846063.0
8,A,2018-10-31,64.35,3820987.0,2019-10-31,76.0,970472.0
9,A,2019-01-31,75.21,2951321.0,2020-01-31,84.03,2850446.0
10,A,2019-04-30,77.44,1726239.0,2020-04-29,76.3,2409376.0
11,A,2019-07-31,70.19,3846063.0,2020-07-30,96.12,1663364.0
12,A,2019-10-31,76.0,970472.0,2020-10-30,101.77,2310001.0
13,A,2020-01-31,84.03,2850446.0,2021-01-30,120.69,1292732.0
14,A,2020-04-30,77.96,1795163.0,2021-04-30,133.9,1514162.0
15,A,2020-07-31,95.94,1551785.0,2021-07-31,154.05,1438321.0
16,AA,2016-12-31,28.6,2746634.0,2017-12-31,54.06,2928905.0
17,AA,2017-03-31,34.06,5188399.0,2018-03-31,44.86,2139615.0
18,AA,2017-06-30,33.16,3014777.0,2018-06-30,46.46,2150764.0
19,AA,2017-09-30,46.43,4037598.0,2018-09-30,40.75,3624890.0
20,AA,2017-12-31,54.06,2928905.0,2018-12-31,26.75,2402623.0
21,AA,2018-03-31,44.86,2139615.0,2019-03-31,28.68,3880402.0
22,AA,2018-06-30,46.46,2150764.0,2019-06-30,23.67,3421871.0
23,AA,2018-09-30,40.75,3624890.0,2019-09-30,20.53,3282303.0
24,AA,2018-12-31,26.75,2402623.0,2019-12-31,21.37,2288528.0
25,AA,2019-03-31,28.68,3880402.0,2020-03-30,6.55,9595428.0
26,AA,2019-06-30,23.67,3421871.0,2020-06-29,11.04,7397605.0
27,AA,2019-09-30,20.53,3282303.0,2020-09-29,12.18,5180879.0
28,AA,2019-12-31,21.37,2288528.0,2020-12-30,22.07,3435025.0
29,AA,2020-03-31,6.16,12477726.0,2021-03-31,33.66,7236579.0
30,AA,2020-06-30,10.84,5796789.0,2021-06-30,37.2,6047752.0
