,Ticker,Returns
0,A,0.5633510270020771
1,A,0.5355953372189841
2,A,0.19801801801801794
3,A,0.07642572944297094
4,A,-0.050044286979628004
5,A,0.019520130134200866
6,A,0.16468641901037756
7,A,0.08101031880486663
8,A,0.18104118104118114
9,A,0.11727163940965309
10,A,-0.014721074380165297
11,A,0.3694258441373416
12,A,0.339078947368421
13,A,0.4362727597286683
14,A,0.7175474602360187
15,A,0.6056910569105692
16,A,
17,A,
18,A,
19,A,
20,AA,0.8902097902097902
21,AA,0.3170874926600116
22,AA,0.4010856453558506
23,AA,-0.12233469739392634
24,AA,-0.5051794302626711
25,AA,-0.3606776638430673
26,AA,-0.49052948773138183
27,AA,-0.4961963190184049
28,AA,-0.20112149532710277
29,AA,-0.7716178521617851
30,AA,-0.5335868187579215
31,AA,-0.406721870433512
32,AA,0.032756200280767395
33,AA,4.4642857142857135
34,AA,2.4317343173431736
35,AA,
36,AA,
37,AA,
38,AA,
39,AAL,0.3207337409672042
40,AAL,0.10681049069373937
41,AAL,0.22185508614585805
42,AAL,-0.2439903846153846
43,AAL,-0.1285774410774412
44,AAL,-0.38677622778520915
45,AAL,-0.3822677226192776
46,AAL,-0.1218865924748278
47,AAL,-0.33953151412702237
48,AAL,-0.121221564350265
49,AAL,-0.5872420262664165
50,AAL,-0.6207000603500302
51,AAL,-0.5396709323583181
52,AAL,-0.4379432624113475
53,AAL,0.8627906976744186
54,AAL,0.6099236641221374
55,AAL,
56,AAL,
57,AAL,
58,AAL,
59,AAN,
60,AAN,
61,AAN,
62,AAOI,2.098700048146365
63,AAOI,0.5942640236187261
64,AAOI,-0.5506775067750678
65,AAOI,-0.27842565597667646
66,AAOI,-0.605811062771908
67,AAOI,-0.6002645502645503
68,AAOI,-0.505026135906715
69,AAOI,-0.759820426487093
70,AAOI,-0.5612928655892787
71,AAOI,-0.2349437458636664
72,AAOI,-0.3907392363931763
73,AAOI,-0.12242990654205596
74,AAOI,-0.016172506738544607
75,AAOI,-0.2344290657439447
76,AAOI,0.05635648754914818
77,AAOI,-0.07700534759358277
78,AAOI,
79,AAOI,
80,AAOI,
81,AAOI,
82,AAON,0.2143611404435058
83,AAON,0.1046337817638266
84,AAON,0.10511363636363623
85,AAON,-0.09602194787379972
86,AAON,0.1005797101449275
87,AAON,-0.05304465493910692
88,AAON,0.19537275064267356
89,AAON,0.5347496206373291
90,AAON,0.20384514090071115
91,AAON,0.4115461560445841
92,AAON,0.006236559139784928
93,AAON,0.018390350009887278
94,AAON,0.2763071537956684
95,AAON,0.3587770803806438
96,AAON,0.47798088907353564
97,AAON,0.18703148425787114
98,AAON,
99,AAON,
100,AAON,
101,AAON,
102,AAP,-0.32309156413568085
103,AAP,-0.40918140297458716
104,AAP,-0.19998651018481042
105,AAP,0.15929583512237008
106,AAP,0.6973287808796949
107,AAP,0.5465807730426164
108,AAP,0.4567911643200404
109,AAP,0.15340740740740746
110,AAP,-0.043663471778487895
111,AAP,0.019929509772508715
112,AAP,-0.45361421378551997
113,AAP,-0.09132361441140581
114,AAP,-0.04794605295718882
115,AAP,-0.015833123900477572
116,AAP,0.9536416910841355
117,AAP,0.4478691286947974
118,AAP,
119,AAP,
120,AAP,
121,AAP,
122,AAPL,0.3717538242618286
123,AAPL,0.4694300518134715
